Wall,User,System
18.54,17.19,1.34
18.93,17.54,1.38
18.53,17.19,1.33
19.48,18.03,1.43
19.93,18.59,1.34
19.97,18.56,1.39
19.93,18.54,1.38
20.13,18.79,1.33
19.87,18.46,1.40
20.07,18.71,1.35
18.56,17.24,1.31
18.73,17.40,1.32
18.86,17.47,1.38
18.71,17.42,1.28
18.73,17.41,1.31
20.24,18.84,1.39
19.95,18.47,1.48
19.97,18.54,1.41
20.42,18.98,1.42
20.58,19.16,1.39
18.69,17.36,1.32
18.79,17.36,1.41
18.66,17.31,1.34
18.83,17.53,1.29
20.50,19.11,1.37
20.71,19.32,1.38
20.42,18.99,1.42
20.20,18.79,1.40
20.39,18.91,1.47
20.44,18.99,1.44
